0	226579
1	10422
2	16776
3	8871
4	11509
5	7873
6	8813
7	6999
8	7662
9	6425
10	6806
11	6085
12	5883
13	5614
14	5560
15	5321
16	5251
17	5018
18	4989
19	4747
20	4640
21	4564
22	4584
23	4355
24	4198
25	4426
26	4086
27	4049
28	3674
29	3905
30	3616
31	3753
32	3511
33	3509
34	3394
35	3238
36	3105
37	2898
38	2893
39	2702
40	2647
41	2448
42	2466
43	2366
44	2461
45	2147
46	2114
47	2027
48	1984
49	1830
50	1776
51	1856
52	1799
53	1655
54	1698
55	1754
56	1736
57	1692
58	1664
59	1713
60	1538
61	1688
62	1572
63	1610
64	1581
65	1605
66	1606
67	1514
68	1439
69	1502
70	1442
71	1431
72	1369
73	1282
74	1334
75	1263
76	1259
77	1181
78	1189
79	1116
80	1065
81	1060
82	1077
83	977
84	1045
85	989
86	956
87	996
88	1005
89	928
90	991
91	890
92	924
93	933
94	896
95	878
96	854
97	786
98	752
99	746
100	754
101	810
102	754
103	690
104	720
105	757
106	615
107	691
108	627
109	679
110	544
111	516
112	515
113	548
114	573
115	524
116	478
117	531
118	562
119	510
120	461
121	424
122	419
123	399
124	401
125	351
126	391
127	313
128	357
129	350
130	361
131	318
132	354
133	301
134	354
135	332
136	323
137	297
138	259
139	271
140	259
141	257
142	253
143	263
144	229
145	255
146	198
147	200
148	216
149	251
150	241
151	214
152	217
153	217
154	200
155	206
156	189
157	173
158	183
159	176
160	238
161	212
162	207
163	143
164	179
165	178
166	179
167	176
168	163
169	166
170	188
171	145
172	140
173	145
174	135
175	147
176	135
177	123
178	122
179	116
180	101
181	130
182	92
183	100
184	129
185	111
186	89
187	115
188	80
189	118
190	118
191	117
192	75
193	76
194	65
195	66
196	54
197	73
198	56
199	51
200	45
201	33
202	29
203	43
204	22
205	29
206	29
207	36
208	43
209	37
210	38
211	36
212	27
213	34
214	35
215	37
216	22
217	22
218	33
219	24
220	28
221	38
222	34
223	35
224	28
225	39
226	40
227	30
228	28
229	21
230	29
231	30
232	25
233	31
234	35
235	28
236	29
237	29
238	41
239	35
240	35
241	28
242	23
243	24
244	42
245	26
246	25
247	14
248	14
249	24
250	9
251	6
252	1
253	2
254	3
255	8
